"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.251","557723","738","2","35",NA,"Haemophilus parasuis SH0165","no_rank",NA
"ubiome_bacteriacounts.252","738","724","2","35",NA,"Haemophilus parasuis","species",NA
"ubiome_bacteriacounts.253","1382","1380","2","35",NA,"Atopobium parvulum","species",NA
"ubiome_bacteriacounts.254","938288","39779","2","35",NA,"Clostridiales bacterium 9401234","species",NA
"ubiome_bacteriacounts.255","909930","909929","2","35",NA,"Acidaminococcaceae","family",NA
"ubiome_bacteriacounts.256","1359","1358","2","35",NA,"Lactococcus lactis subsp. cremoris","subspecies",NA
"ubiome_bacteriacounts.257","862965","729","2","35",NA,"Haemophilus parainfluenzae T3T1","no_rank",NA
"ubiome_bacteriacounts.258","119060","80840","2","35",NA,"Burkholderiaceae","family",NA
"ubiome_bacteriacounts.259","439703","838","2","35",NA,"Prevotella maculosa","species",NA
"ubiome_bacteriacounts.260","729","724","2","35",NA,"Haemophilus parainfluenzae","species",NA
"ubiome_bacteriacounts.261","589437","838","2","35",NA,"Prevotella scopos","species",NA
"ubiome_bacteriacounts.262","242635","134213","2","35",NA,"Capnocytophaga sp. oral clone ID062","species",NA
"ubiome_bacteriacounts.263","325821","84374","2","35",NA,"Prevotella sp. oral clone ASCD07","species",NA
"ubiome_bacteriacounts.264","495","482","2","35",NA,"Neisseria elongata","species",NA
"ubiome_bacteriacounts.265","1357","1300","2","35",NA,"Lactococcus","genus",NA
"ubiome_bacteriacounts.266","1358","1357","2","35",NA,"Lactococcus lactis","species",NA
"ubiome_bacteriacounts.267","416870","1359","2","35",NA,"Lactococcus lactis subsp. cremoris MG1363","no_rank",NA
