"taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"186817","1385","21","644","null","Bacillaceae","family","null"
"526525","526524","21","644","null","Erysipelotrichales","order","null"
"185291","333046","21","644","null","unclassified Bacteroidales (miscellaneous)","no_rank","null"
"526524","1239","21","644","null","Erysipelotrichia","class","null"
"1118061","185291","21","644","null","Bacteroidales bacterium ph8","species","null"
"118884","1236","20","613","null","unclassified Gammaproteobacteria","no_rank","null"
"204432","57723","19","583","null","Acidobacteriia","class","null"
"128827","526525","19","583","null","Erysipelotrichaceae","family","null"
"84995","1760","18","552","null","Rubrobacteridae","subclass","null"
"39492","1730","18","552","null","Eubacterium siraeum","species","null"
"626933","283168","17","521","null","Odoribacter laneus","species","null"
"46867","1485","17","521","null","Clostridium chauvoei","species","null"
"823","375288","16","491","null","Parabacteroides distasonis","species","null"
"328813","239759","14","429","null","Alistipes onderdonkii","species","null"
"86331","543314","14","429","null","Mogibacterium","genus","null"
"742725","626932","14","429","null","Alistipes indistinctus YIT 12060","no_rank","null"
"1470347","239759","13","399","null","Candidatus Alistipes marseilloanorexicus","species","null"
"487174","397864","13","399","null","Barnesiella intestinihominis","species","null"
"1211813","1470347","13","399","null","Candidatus Alistipes marseilloanorexicus AP11","no_rank","null"
"1201878","49928","13","399","null","bacterium NLAE-zl-H54","species","null"
"186813","186802","12","368","null","unclassified Clostridiales","no_rank","null"
"39779","186813","12","368","null","unclassified Clostridiales (miscellaneous)","no_rank","null"
"35832","194924","12","368","null","Bilophila","genus","null"
"86661","1386","11","337","null","Bacillus cereus group","species_group","null"
"412694","1428","11","337","null","Bacillus thuringiensis str. Al Hakam","no_rank","null"
"1428","86661","11","337","null","Bacillus thuringiensis","species","null"
"1386","186817","11","337","null","Bacillus","genus","null"
"84998","1760","11","337","null","Coriobacteridae","subclass","null"
"135613","1236","11","337","null","Chromatiales","order","null"
"255727","84999","11","337","null","Coriobacterineae","suborder","null"
"84999","84998","11","337","null","Coriobacteriales","order","null"
"171552","171549","11","337","null","Prevotellaceae","family","null"
"744995","118884","11","337","null","OMG group","no_rank","null"
"745002","744995","11","337","null","OM182 clade","no_rank","null"
"248744","186803","11","337","null","Marvinbryantia","genus","null"
"204458","28211","10","307","null","Caulobacterales","order","null"
"626929","816","10","307","null","Bacteroides clarus","species","null"
"76892","204458","10","307","null","Caulobacteraceae","family","null"
"129337","186817","10","307","null","Geobacillus","genus","null"
"134549","74201","10","307","null","Spartobacteria","class","null"
"762984","626929","10","307","null","Bacteroides clarus YIT 12056","no_rank","null"
"872","194924","9","276","null","Desulfovibrio","genus","null"
"675948","134222","9","276","null","Desulfovibrio sp. enrichment culture clone Jdgsrb034","species","null"
"838","171552","9","276","null","Prevotella","genus","null"
"742817","626933","9","276","null","Odoribacter laneus YIT 12061","no_rank","null"
"562","561","9","276","null","Escherichia coli","species","null"
